Signal,abap,agc_assembly,apex,assembly,c,cobol,cpp,csharp,css,csv,dart,dockerfile,fortran,go,groovy,haskell,hlo,html,java,javascript,kotlin,livecode,lua,m4,makefile,markdown,matlab,micropython,mlir,objective-c,pbtxt,perl,php,plaintext,powershell,proto,python,ruby,rust,scala,scheme,shell,sqlite,swift,tcl,td,typescript,xml,yacc,yaml,zig,Total Languages
api,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
args,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
bailout_hits,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
bitwise_hits,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,Yes,Yes,Yes,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,35
branch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
cast_hits,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,Yes,Yes,Yes,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,35
civil_war,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0
class_start,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,None,Yes,None,None,None,Yes,36
cleanup,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
closures,None,None,None,None,None,None,Yes,Yes,Yes,None,Yes,None,None,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,None,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,None,Yes,None,None,None,None,27
comprehensions,Yes,None,Yes,Yes,None,None,Yes,Yes,None,None,Yes,None,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,None,None,None,34
concurrency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,None,None,Yes,38
danger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
decorators,Yes,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,None,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,Yes,None,None,Yes,None,None,None,None,30
dependency_injection,Yes,None,Yes,None,Yes,None,Yes,Yes,None,None,Yes,Yes,None,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,None,None,None,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,None,None,Yes,None,None,None,None,29
doc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
encapsulation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
events,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,None,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,None,None,Yes,38
flux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
fragile_debt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
freeze_hits,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,40
func_start,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
generics,Yes,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,None,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,None,Yes,None,None,None,None,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,None,None,Yes,Yes,None,None,Yes,None,Yes,None,Yes,30
globals,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
graveyard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
halt_hits,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,None,None,Yes,39
heat_triggers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
import,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,40
inline_asm,None,None,None,None,Yes,None,Yes,None,None,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,None,Yes,None,Yes,None,None,None,None,None,None,Yes,None,None,None,None,None,None,None,None,None,None,None,Yes,8
io,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
linear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,Yes,41
listeners,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,None,Yes,Yes,None,Yes,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,None,Yes,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,Yes,None,None,None,None,36
macros,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,None,None,Yes,Yes,Yes,Yes,None,Yes,None,Yes,None,None,Yes,None,None,Yes,Yes,None,None,Yes,None,Yes,None,Yes,Yes,None,None,None,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,None,None,None,Yes,None,None,28
